scope,feature_name,algorithm,target,label_column,sample_count,feature_dim,cluster_count,cluster_count_excluding_noise,noise_count,noise_fraction,silhouette,davies_bouldin,nmi,ari,purity,dbscan_eps,dbscan_min_samples,dbscan_percentile
full,mu,dbscan,language,music_lang,9661,64,185,184,4270,0.441983231549529,-0.12876084446907043,0.9783174493413918,0.015087061125587397,0.0010761475993268056,0.5363833971638546,0.007039204705506563,5,50
full,mu,dbscan,language,music_lang,9661,64,250,249,3130,0.323983024531622,0.03836898133158684,0.9663423810923104,0.01749901190895366,0.002370801866920377,0.54528516716696,0.009847237728536129,5,60
full,mu,dbscan,language,music_lang,9661,64,276,275,2101,0.2174723113549322,0.17502917349338531,1.0437230163765592,0.016706414403559522,0.0034479963419701666,0.5495290342614636,0.01283601950854063,5,70
full,mu,dbscan,language,music_lang,9661,64,267,266,1143,0.11831073387848048,0.30780553817749023,1.1409318895456124,0.015471753462211715,0.003464862316254711,0.5509781596108063,0.016621218994259834,5,80
full,mu,dbscan,language,music_lang,9661,64,217,216,809,0.08373874340130422,0.3917591869831085,1.191921628627545,0.014110909340351833,0.003668576550476066,0.5451816582134354,0.019014591351151466,5,85
full,mu,dbscan,language,music_lang,9661,64,147,146,515,0.05330711106510713,0.46762165427207947,1.1879900094500713,0.012065763382215194,0.004392724832840525,0.5394886657695891,0.022418402135372162,5,90
full,mu,dbscan,language,music_lang,9661,64,75,74,243,0.025152675706448607,0.40423938632011414,1.0972939957140926,0.009715859440387097,0.004817315577003391,0.5341062001863162,0.02911422960460186,5,95
full,mu,dbscan,language,music_lang,9661,64,62,61,4293,0.44436393748059205,-0.0673811286687851,0.9633892643392551,0.008023255256982715,0.002167190251581423,0.5256184659973088,0.013137813657522202,10,50
full,mu,dbscan,language,music_lang,9661,64,89,88,3095,0.3203602111582652,0.021486379206180573,1.0866218195639479,0.009756114404589988,0.0032038839617261608,0.5279991719283718,0.019323423504829407,10,60
full,mu,dbscan,language,music_lang,9661,64,126,125,1769,0.1831073387848049,0.2677516043186188,1.1517203704200898,0.010233741279415742,0.0037005350840861794,0.534727253907463,0.024884605780243874,10,70
full,mu,dbscan,language,music_lang,9661,64,102,101,980,0.10143877445399027,0.3711026906967163,1.1644445045170084,0.009619717861778952,0.003995728506785258,0.5329676016975469,0.030502840876579285,10,80
full,mu,dbscan,language,music_lang,9661,64,84,83,659,0.06821240037263224,0.42778027057647705,1.1985460686651277,0.009022331382655858,0.00403578944083871,0.5329676016975469,0.03424941375851631,10,85
full,mu,dbscan,language,music_lang,9661,64,63,62,335,0.03467549943070076,0.43441569805145264,1.1338408828448978,0.008747423536481743,0.004718365522438979,0.5305868957664838,0.03885054215788841,10,90
full,mu,dbscan,language,music_lang,9661,64,36,35,149,0.015422834075147501,0.47023269534111023,1.0730536786553317,0.006085042324161566,0.004737365015794044,0.524583376462064,0.04679015278816223,10,95
